id_municipio,nome,qtde_nascimentos_ate_2010
1100015,Ademir,46
1100015,Adriana,60
1100015,Aline,77
1100015,Amanda,51
1100015,Ana,300
1100015,Anderson,67
1100015,Andre,62
1100015,Andreia,53
1100015,Antonio,270
1100015,Bruno,81
1100015,Camila,58
1100015,Carlos,143
1100015,Daiane,53
1100015,Daniel,81
1100015,Diego,57
1100015,Edson,46
1100015,Eduardo,73
1100015,Eliane,62
1100015,Elias,50
1100015,Fabio,61
1100015,Fernando,77
1100015,Francisco,104
1100015,Gabriel,86
1100015,Geraldo,49
1100015,Gustavo,56
1100015,Jaqueline,53
1100015,Jeferson,48
1100015,Joao,373
1100015,Jose,661
1100015,Julia,46
1100015,Juliana,65
1100015,Leandro,91
1100015,Leticia,49
1100015,Lucas,151
1100015,Luciana,62
1100015,Luis,49
1100015,Luiz,125
1100015,Luzia,46
1100015,Manoel,56
1100015,Marcelo,73
1100015,Marcia,77
1100015,Marcio,46
1100015,Marcos,150
1100015,Maria,1135
1100015,Marlene,50
1100015,Marli,51
1100015,Mateus,78
1100015,Patricia,75
1100015,Paulo,164
1100015,Pedro,134
1100015,Rafael,85
1100015,Rodrigo,63
1100015,Rogerio,51
1100015,Rosangela,47
1100015,Roseli,48
1100015,Sandra,60
1100015,Sebastiao,87
1100015,Terezinha,47
1100015,Tiago,55
1100015,Valdir,50
1100015,Vanderlei,53
1100015,Vanessa,66
1100015,Vitor,53
1100023,Adao,63
1100023,Ademir,91
1100023,Adilson,90
1100023,Adriana,275
1100023,Adriano,171
1100023,Agnaldo,50
1100023,Ailton,87
1100023,Alan,116
1100023,Alessandra,122
1100023,Alessandro,81
1100023,Alex,153
1100023,Alexandre,147
1100023,Alice,103
1100023,Aline,286
1100023,Alison,67
1100023,Alisson,81
1100023,Amanda,288
1100023,Ana,1120
1100023,Anderson,287
1100023,Andre,219
1100023,Andreia,189
1100023,Andressa,147
1100023,Angela,111
1100023,Angelica,64
1100023,Antonia,115
1100023,Antonio,878
1100023,Aparecida,171
1100023,Aparecido,84
1100023,Barbara,46
1100023,Beatriz,175
1100023,Benedito,59
1100023,Bianca,65
1100023,Brenda,47
1100023,Bruna,250
1100023,Bruno,291
1100023,Caio,78
1100023,Camila,254
1100023,Carina,47
1100023,Carla,106
1100023,Carlos,561
1100023,Carolina,66
1100023,Caroline,100
1100023,Celia,76
1100023,Celso,57
1100023,Cicero,67
1100023,Clarice,46
1100023,Claudemir,53
1100023,Claudia,134
1100023,Claudinei,66
1100023,Claudio,131
1100023,Cleber,50
1100023,Cleide,67
1100023,Cleiton,112
1100023,Cleonice,70
1100023,Cleuza,75
1100023,Cristiane,148
1100023,Cristiano,65
1100023,Cristina,66
1100023,Daiane,216
1100023,Daniel,283
1100023,Daniela,125
1100023,Daniele,117
1100023,Danilo,67
1100023,Davi,118
1100023,David,87
1100023,Debora,154
1100023,Denise,49
1100023,Diego,239
1100023,Diogo,87
1100023,Douglas,145
1100023,Eder,52
1100023,Edilson,78
1100023,Edivaldo,67
1100023,Edna,117
1100023,Edson,221
1100023,Eduarda,87
1100023,Eduardo,308
1100023,Edvaldo,77
1100023,Elaine,110
1100023,Eliana,70
1100023,Eliane,226
1100023,Elias,198
1100023,Eliene,49
1100023,Elisangela,71
1100023,Elizabete,66
1100023,Elizangela,81
1100023,Elizeu,68
1100023,Elza,87
1100023,Emerson,100
1100023,Emili,75
1100023,Eric,47
1100023,Erica,151
1100023,Ester,62
1100023,Eunice,47
1100023,Eva,83
1100023,Evandro,50
1100023,Evelin,52
1100023,Everton,66
1100023,Ezequiel,60
1100023,Fabiana,146
1100023,Fabiano,70
1100023,Fabio,233
1100023,Fabricio,90
1100023,Fatima,71
1100023,Felipe,270
1100023,Fernanda,220
1100023,Fernando,218
1100023,Flavia,72
1100023,Flavio,102
1100023,Franciele,102
1100023,Francisca,165
1100023,Francisco,462
1100023,Gabriel,443
1100023,Gabriela,154
1100023,Gabriele,64
1100023,Gean,58
1100023,Geovana,76
1100023,Geovane,53
1100023,Geraldo,142
1100023,Gessica,47
1100023,Gilberto,119
1100023,Gilmar,141
1100023,Gilson,87
1100023,Gisele,56
1100023,Gislaine,46
1100023,Guilherme,227
1100023,Gustavo,241
1100023,Helena,67
1100023,Helio,56
1100023,Henrique,105
1100023,Hugo,58
1100023,Igor,125
1100023,Ilda,56
1100023,Iracema,55
1100023,Iraci,53
1100023,Irene,76
1100023,Isabel,90
1100023,Isabela,60
1100023,Isaias,50
1100023,Italo,58
1100023,Ivan,57
1100023,Ivo,47
1100023,Ivone,87
1100023,Ivonete,68
1100023,Jaime,58
1100023,Jair,112
1100023,Jairo,48
1100023,Janaina,60
1100023,Janete,71
1100023,Jaqueline,176
1100023,Jean,86
1100023,Jeferson,196
1100023,Jenifer,60
1100023,Jessica,304
1100023,Joana,74
1100023,Joao,1292
1100023,Joaquim,76
1100023,Joel,103
1100023,Joice,64
1100023,Jonas,88
1100023,Jonatan,47
1100023,Jorge,136
1100023,Jose,2008
1100023,Josefa,73
1100023,Josiane,116
1100023,Josias,46
1100023,Josimar,46
1100023,Josue,65
1100023,Julia,151
1100023,Juliana,231
1100023,Juliano,48
1100023,Julio,136
1100023,Junior,58
1100023,Karina,51
1100023,Karine,47
1100023,Katia,46
1100023,Kauan,47
1100023,Keila,66
1100023,Larissa,164
1100023,Laura,73
1100023,Leandro,234
1100023,Leidiane,56
1100023,Leila,68
1100023,Leonardo,143
1100023,Leticia,260
1100023,Lidia,48
1100023,Luan,113
1100023,Luana,204
1100023,Lucas,611
1100023,Lucia,103
1100023,Luciana,179
1100023,Luciano,135
1100023,Luciene,94
1100023,Lucilene,71
1100023,Lucimar,65
1100023,Lucineia,58
1100023,Luis,145
1100023,Luiz,499
1100023,Luiza,88
1100023,Lurdes,63
1100023,Luzia,158
1100023,Luzinete,51
1100023,Maicon,133
1100023,Manoel,196
1100023,Manuel,103
1100023,Marcela,56
1100023,Marcelo,284
1100023,Marcia,254
1100023,Marcio,211
1100023,Marco,48
1100023,Marcos,545
1100023,Maria,3592
1100023,Mariana,124
1100023,Marilene,78
1100023,Marina,62
1100023,Marinalva,52
1100023,Mario,99
1100023,Marlene,176
1100023,Marli,154
1100023,Marta,138
1100023,Mateus,406
1100023,Matheus,87
1100023,Mauricio,76
1100023,Mauro,68
1100023,Michael,53
1100023,Michele,88
1100023,Miguel,84
1100023,Milena,51
1100023,Milton,82
1100023,Mirian,84
1100023,Moacir,49
1100023,Moises,77
1100023,Monica,83
1100023,Murilo,52
1100023,Naiara,68
1100023,Nair,66
1100023,Natalia,146
1100023,Natiele,50
1100023,Neide,62
1100023,Nelson,99
1100023,Neuza,89
1100023,Nicolas,63
1100023,Nicole,70
1100023,Nilson,74
1100023,Nilton,66
1100023,Nilza,52
1100023,Nivaldo,55
1100023,Odair,51
1100023,Osmar,78
1100023,Osvaldo,85
1100023,Pablo,122
1100023,Pamela,120
1100023,Patricia,246
1100023,Paula,79
1100023,Paulo,608
1100023,Pedro,520
1100023,Poliana,96
1100023,Priscila,62
1100023,Rafael,345
1100023,Rafaela,130
1100023,Raiane,90
1100023,Raimunda,80
1100023,Raimundo,159
1100023,Raissa,55
1100023,Raquel,108
1100023,Rebeca,55
1100023,Regiane,82
1100023,Regina,80
1100023,Reginaldo,151
1100023,Reinaldo,77
1100023,Renan,76
1100023,Renata,128
1100023,Renato,141
1100023,Ricardo,150
1100023,Rita,68
1100023,Roberto,156
1100023,Robson,141
1100023,Rodrigo,276
1100023,Rogerio,152
1100023,Ronaldo,134
1100023,Rosa,109
1100023,Rosana,99
1100023,Rosangela,170
1100023,Roseli,124
1100023,Rosiane,47
1100023,Rosilene,83
1100023,Rosimeire,67
1100023,Ruan,57
1100023,Rubens,62
1100023,Rute,50
1100023,Sabrina,105
1100023,Salete,50
1100023,Samara,64
1100023,Samuel,110
1100023,Sandra,218
1100023,Sara,115
1100023,Sebastiana,79
1100023,Sebastiao,225
1100023,Selma,69
1100023,Sergio,179
1100023,Sidnei,78
1100023,Silvana,164
1100023,Silvia,51
1100023,Silvio,53
1100023,Simone,176
1100023,Sirlei,55
1100023,Sirlene,60
1100023,Solange,114
1100023,Sonia,167
1100023,Sueli,146
1100023,Taina,65
1100023,Tainara,70
1100023,Tais,133
1100023,Talita,83
1100023,Tania,62
1100023,Tatiane,138
1100023,Tereza,105
1100023,Terezinha,114
1100023,Thais,75
1100023,Thiago,169
1100023,Tiago,265
1100023,Vagner,113
1100023,Valdeci,59
1100023,Valdecir,93
1100023,Valdemar,46
1100023,Valdemir,56
1100023,Valdinei,65
1100023,Valdir,144
1100023,Valdirene,50
